time,latitude,longitude,u10,v10,mwd,mwp,swh
2021-05-03 07:00:00,34.0,120.0,-3.4792938,4.114975,139.30536,4.8942385,1.5207808
2021-05-03 08:00:00,34.0,120.0,-3.9176483,3.3000336,139.04141,4.9764767,1.5426395
2021-05-03 09:00:00,34.0,120.0,-4.0514984,2.6550903,138.83775,5.0568266,1.5605019
2021-05-03 10:00:00,34.0,120.0,-3.260666,2.1810608,138.5654,5.1404657,1.5392917
2021-05-03 11:00:00,34.0,120.0,-2.7319183,1.959259,138.44041,5.2040586,1.5068665
2021-05-03 12:00:00,34.0,120.0,-2.6705322,1.8614655,138.36038,5.259617,1.4600685
2021-05-03 13:00:00,34.0,120.0,-2.5410614,2.412857,138.59174,5.2883425,1.4131554
2021-05-03 14:00:00,34.0,120.0,-2.1596222,2.4453125,139.14127,5.297847,1.3678389
2021-05-03 15:00:00,34.0,120.0,-1.6291809,2.0886688,139.22949,5.3349056,1.3093491
2021-05-03 16:00:00,34.0,120.0,-1.2536469,1.8956299,138.94286,5.398677,1.2448251
2021-05-03 17:00:00,34.0,120.0,-1.3360748,1.914505,138.5506,5.4658947,1.1853027
2021-05-03 18:00:00,34.0,120.0,-1.23526,1.5541687,138.14198,5.5313883,1.1333137
2021-05-03 19:00:00,34.0,120.0,-1.4881134,1.2909088,137.83813,5.582308,1.0897573
2021-05-03 20:00:00,34.0,120.0,-1.4274902,1.8522186,137.64316,5.6138935,1.0526192
2021-05-03 21:00:00,34.0,120.0,-0.14982605,1.4331512,137.54063,5.6364717,1.0183542
2021-05-03 22:00:00,34.0,120.0,0.9723816,-1.5088501,137.53085,5.6595554,0.9833805
2021-05-03 23:00:00,34.0,120.0,0.881485,-3.8488922,137.32504,5.6404295,0.9535392
2021-05-04 00:00:00,34.0,120.0,0.13189697,-4.871521,136.39989,5.562087,0.93185604
2021-05-04 01:00:00,34.0,120.0,-0.26037598,-5.2912903,133.46307,5.3824625,0.92559475
2021-05-04 02:00:00,34.0,120.0,0.12214661,-6.4134064,125.84665,5.121706,0.9389346
2021-05-04 03:00:00,34.0,120.0,0.035614014,-6.7362213,101.84445,4.760165,1.0030673
2021-05-04 04:00:00,34.0,120.0,0.23954773,-7.151184,58.11005,4.5075426,1.1018676
2021-05-04 05:00:00,34.0,120.0,0.7380829,-7.167099,22.54736,4.43594,1.2066803
2021-05-04 06:00:00,34.0,120.0,0.5023346,-7.0872803,8.390279,4.4908485,1.2923332
2021-05-04 07:00:00,34.0,120.0,0.5314636,-6.401535,4.348526,4.592599,1.3166255
2021-05-04 08:00:00,34.0,120.0,0.62615967,-5.3530426,4.6594687,4.69174,1.2620564
2021-05-04 09:00:00,34.0,120.0,0.55145264,-3.8874817,7.9563684,4.810194,1.1609625
2021-05-04 10:00:00,34.0,120.0,0.34403992,-1.1918488,12.918161,4.9364386,1.0638366
2021-05-04 11:00:00,34.0,120.0,0.88279724,-0.14076233,18.603336,5.0390787,0.9868677
2021-05-04 12:00:00,34.0,120.0,1.2473602,0.6780548,24.532259,5.108589,0.9262093
2021-05-04 13:00:00,34.0,120.0,1.6591339,0.83825684,30.305408,5.150939,0.8776241
2021-05-04 14:00:00,34.0,120.0,1.7389984,0.6760254,35.937805,5.1837387,0.83516955
2021-05-04 15:00:00,34.0,120.0,1.6237793,0.46038818,41.523514,5.217474,0.7966402
2021-05-04 16:00:00,34.0,120.0,1.6533966,0.9154663,46.361954,5.2314596,0.76323473
2021-05-04 17:00:00,34.0,120.0,1.6038208,1.2202759,50.969604,5.226082,0.7336326
2021-05-04 18:00:00,34.0,120.0,2.5430603,0.3715973,54.555832,5.201873,0.7086005
2021-05-04 19:00:00,34.0,120.0,2.5657806,-0.354599,56.700836,5.166191,0.6864273
2021-05-04 20:00:00,34.0,120.0,2.5993042,-0.8490753,57.617554,5.1183176,0.6670778
2021-05-04 21:00:00,34.0,120.0,2.4454193,-1.7195129,57.59996,5.0645437,0.65036935
2021-05-04 22:00:00,34.0,120.0,1.3900299,-2.1474152,54.04117,4.9875174,0.639143
2021-05-04 23:00:00,34.0,120.0,0.28385925,-1.9249725,53.878357,4.970167,0.6235434
2021-05-01 00:00:00,34.0,120.5,3.4236603,-0.45021057,90.65524,4.9328995,0.832506
2021-05-01 01:00:00,34.0,120.5,4.224304,-0.59910583,90.63713,4.9109554,0.822491
