,departure,arrival,voyage_time,trip_type
0,2021_05_18 09_51_34,2021_05_19 03_18_31,8753.449166666667,return
1,2021_05_19 03_18_59,2021_05_20 01_57_28,8782.64138888889,going
2,2021_05_20 01_57_28,2021_05_21 01_09_34,8735.201666666666,return
