,time,latitude,longitude,u10,v10,cdww,mwp,pp1d,shww,dwww,wsk,wsp,wss
95940,2021/5/8 12:00,35.0,120.0,-4.685586312,-3.978196162,--,--,--,--,--,--,--,--
95941,2021/5/8 12:00,35.0,120.25,-4.828295738,-4.139492909,--,--,--,--,--,--,--,--
95942,2021/5/8 12:00,35.0,120.5,-5.460074224,-4.108989799,--,--,--,--,--,--,--,--
95943,2021/5/8 12:00,35.0,120.75,-6.353358091,-3.96756629,--,--,--,--,--,--,--,--
95944,2021/5/8 12:00,35.0,121.0,-7.264769912,-3.927357645,--,--,--,--,--,--,--,--
95945,2021/5/8 12:00,35.0,121.25,-7.693283891,-4.029034678,--,--,--,--,--,--,--,--
95946,2021/5/8 12:00,35.0,121.5,-7.887677272,-4.217599357,--,--,--,--,--,--,--,--
95947,2021/5/8 12:00,35.0,121.75,-7.863378099,-4.488892167,--,--,--,--,--,--,--,--
95948,2021/5/8 12:00,35.0,122.0,-7.569473822,-4.822115534,--,--,--,--,--,--,--,--
95949,2021/5/8 12:00,35.0,122.25,-7.017535474,-5.220504635,--,--,--,--,--,--,--,--
95950,2021/5/8 12:00,35.0,122.5,-6.306688252,-5.54864415,--,--,--,--,--,--,--,--
95951,2021/5/8 12:00,35.0,122.75,-5.502887052,-5.806534078,--,--,--,--,--,--,--,--
95952,2021/5/8 12:00,35.0,123.0,-4.672858174,-5.970603836,--,--,--,--,--,--,--,--
95953,2021/5/8 12:00,35.0,123.25,-3.758746444,-6.031147887,--,--,--,--,--,--,--,--
95954,2021/5/8 12:00,35.0,123.5,-2.912132417,-6.106943493,--,--,--,--,--,--,--,--
95955,2021/5/8 12:00,35.0,123.75,-2.055490159,-6.140219613,--,--,--,--,--,--,--,--
95956,2021/5/8 12:00,35.0,124.0,-1.177634338,-6.106019157,--,--,--,--,--,--,--,--
95957,2021/5/8 12:00,35.0,124.25,-0.202196126,-5.980309371,--,--,--,--,--,--,--,--
95958,2021/5/8 12:00,35.0,124.5,0.889723834,-5.718259927,--,--,--,--,--,--,--,--
95959,2021/5/8 12:00,35.0,124.75,2.055698415,-5.361928144,--,--,--,--,--,--,--,--
95960,2021/5/8 12:00,35.0,125.0,3.354354192,-4.82303987,--,--,--,--,--,--,--,--
95961,2021/5/8 12:00,35.0,125.25,4.513771854,-4.152895791,--,--,--,--,--,--,--,--
95962,2021/5/8 12:00,35.0,125.5,5.54397963,-3.40002358,--,--,--,--,--,--,--,--
95963,2021/5/8 12:00,35.0,125.75,6.260612369,-2.574128773,--,--,--,--,--,--,--,--
95964,2021/5/8 12:00,35.0,126.0,6.560687865,-1.677522211,--,--,--,--,--,--,--,--
95965,2021/5/8 12:00,35.0,126.25,5.573292917,-0.434289401,--,--,--,--,--,--,--,--
95966,2021/5/8 12:00,35.0,126.5,4.607497234,0.309801611,--,--,--,--,--,--,--,--
95967,2021/5/8 12:00,35.0,126.75,3.914006563,0.647646661,--,--,--,--,--,--,--,--
95968,2021/5/8 12:00,35.0,127.0,3.85268008,0.577397075,--,--,--,--,--,--,--,--
95969,2021/5/8 12:00,35.0,127.25,3.456179296,-0.117704095,--,--,--,--,--,--,--,--
95970,2021/5/8 12:00,35.0,127.5,3.491278101,0.084263466,--,--,--,--,--,--,--,--
95971,2021/5/8 12:00,35.0,127.75,3.680657367,1.001205434,--,--,--,--,--,--,--,--
95972,2021/5/8 12:00,35.0,128.0,3.653272585,2.390945605,--,--,--,--,--,--,--,--
95973,2021/5/8 12:00,35.0,128.25,4.090657691,3.092054963,--,--,--,--,--,--,--,--
95974,2021/5/8 12:00,35.0,128.5,5.354600364,4.008072594,--,--,--,--,--,--,--,--
95975,2021/5/8 12:00,35.0,128.75,6.654413245,4.967071881,--,--,--,--,--,--,--,--
95976,2021/5/8 12:00,35.0,129.0,7.339804191,6.098922123,--,--,--,--,--,--,--,--
95977,2021/5/8 12:00,35.0,129.25,8.101563966,7.319508685,--,--,--,--,--,--,--,--
95978,2021/5/8 12:00,35.0,129.5,8.290171829,8.186998641,--,--,--,--,--,--,--,--
95979,2021/5/8 12:00,35.0,129.75,7.954997528,8.624209882,--,--,--,--,--,--,--,--
95980,2021/5/8 12:00,35.0,130.0,7.659164745,8.949576387,--,--,--,--,--,--,--,--
95981,2021/5/8 12:00,35.25,120.0,-4.469593667,-4.332679271,--,--,--,--,--,--,--,--
95982,2021/5/8 12:00,35.25,120.25,-4.792811232,-4.234237417,--,--,--,--,--,--,--,--
95983,2021/5/8 12:00,35.25,120.5,-5.519472201,-3.89824104,--,--,--,--,--,--,--,--
95984,2021/5/8 12:00,35.25,120.75,-6.451326183,-3.41943465,--,--,--,--,--,--,--,--
