,time,latitude,longitude,u10,v10,cdww,mwp,pp1d,shww,dwww,wsk,wsp,wss
130052,2021/5/11 4:00,35.0,120.0,-4.491578632,-6.799271653,--,--,--,--,--,--,--,--
130053,2021/5/11 4:00,35.0,120.25,-4.827524335,-6.500710911,--,--,--,--,--,--,--,--
130054,2021/5/11 4:00,35.0,120.5,-5.0500739,-6.154084663,--,--,--,--,--,--,--,--
130055,2021/5/11 4:00,35.0,120.75,-5.249095694,-5.710403065,--,--,--,--,--,--,--,--
130056,2021/5/11 4:00,35.0,121.0,-5.53258604,-5.09155967,--,--,--,--,--,--,--,--
130057,2021/5/11 4:00,35.0,121.25,-5.80373395,-4.391374649,--,--,--,--,--,--,--,--
130058,2021/5/11 4:00,35.0,121.5,-6.124251607,-3.594596447,--,--,--,--,--,--,--,--
130059,2021/5/11 4:00,35.0,121.75,-6.522680896,-2.697065549,--,--,--,--,--,--,--,--
130060,2021/5/11 4:00,35.0,122.0,-6.993236301,-1.715420014,--,--,--,--,--,--,--,--
130061,2021/5/11 4:00,35.0,122.25,-7.442578143,-0.829905492,--,--,--,--,--,--,--,--
130062,2021/5/11 4:00,35.0,122.5,-7.789323478,-0.034975963,--,--,--,--,--,--,--,--
130063,2021/5/11 4:00,35.0,122.75,-8.048128951,0.664284721,--,--,--,--,--,--,--,--
130064,2021/5/11 4:00,35.0,123.0,-8.222851572,1.254011511,--,--,--,--,--,--,--,--
130065,2021/5/11 4:00,35.0,123.25,-8.404516815,1.680130712,--,--,--,--,--,--,--,--
130066,2021/5/11 4:00,35.0,123.5,-8.50325631,2.103939072,--,--,--,--,--,--,--,--
130067,2021/5/11 4:00,35.0,123.75,-8.572296816,2.520814906,--,--,--,--,--,--,--,--
130068,2021/5/11 4:00,35.0,124.0,-8.622437965,2.894709086,--,--,--,--,--,--,--,--
130069,2021/5/11 4:00,35.0,124.25,-8.43961562,3.336079841,--,--,--,--,--,--,--,--
130070,2021/5/11 4:00,35.0,124.5,-8.349747251,3.740477131,--,--,--,--,--,--,--,--
130071,2021/5/11 4:00,35.0,124.75,-8.175796032,4.091262894,--,--,--,--,--,--,--,--
130072,2021/5/11 4:00,35.0,125.0,-7.832136306,4.5187686,--,--,--,--,--,--,--,--
130073,2021/5/11 4:00,35.0,125.25,-7.380865959,4.796069598,--,--,--,--,--,--,--,--
130074,2021/5/11 4:00,35.0,125.5,-6.963923014,4.920392879,--,--,--,--,--,--,--,--
130075,2021/5/11 4:00,35.0,125.75,-6.719002783,4.951358158,--,--,--,--,--,--,--,--
130076,2021/5/11 4:00,35.0,126.0,-6.798071519,4.812707658,--,--,--,--,--,--,--,--
130077,2021/5/11 4:00,35.0,126.25,-7.314525361,4.217897017,--,--,--,--,--,--,--,--
130078,2021/5/11 4:00,35.0,126.5,-7.009050048,3.400783408,--,--,--,--,--,--,--,--
130079,2021/5/11 4:00,35.0,126.75,-6.247290274,2.689968515,--,--,--,--,--,--,--,--
130080,2021/5/11 4:00,35.0,127.0,-5.303093855,2.261076304,--,--,--,--,--,--,--,--
130081,2021/5/11 4:00,35.0,127.25,-4.873422772,1.455516903,--,--,--,--,--,--,--,--
130082,2021/5/11 4:00,35.0,127.5,-4.844109485,0.093969001,--,--,--,--,--,--,--,--
130083,2021/5/11 4:00,35.0,127.75,-4.928963738,-1.289762981,--,--,--,--,--,--,--,--
130084,2021/5/11 4:00,35.0,128.0,-4.689829024,-2.014442924,--,--,--,--,--,--,--,--
130085,2021/5/11 4:00,35.0,128.25,-5.162312935,-1.890119643,--,--,--,--,--,--,--,--
130086,2021/5/11 4:00,35.0,128.5,-6.493367609,-2.457662353,--,--,--,--,--,--,--,--
130087,2021/5/11 4:00,35.0,128.75,-7.780452352,-3.399099243,--,--,--,--,--,--,--,--
130088,2021/5/11 4:00,35.0,129.0,-8.273764124,-4.603972082,--,--,--,--,--,--,--,--
130089,2021/5/11 4:00,35.0,129.25,-8.324290975,-5.358230797,--,--,--,--,--,--,--,--
130090,2021/5/11 4:00,35.0,129.5,-7.969831617,-5.478394563,--,--,--,--,--,--,--,--
130091,2021/5/11 4:00,35.0,129.75,-7.365437913,-5.148868544,--,--,--,--,--,--,--,--
130092,2021/5/11 4:00,35.0,130.0,-6.980508163,-4.665902638,--,--,--,--,--,--,--,--
130093,2021/5/11 4:00,35.25,120.0,-5.006103969,-6.522894991,--,--,--,--,--,--,--,--
130094,2021/5/11 4:00,35.25,120.25,-5.194711832,-6.407815077,--,--,--,--,--,--,--,--
130095,2021/5/11 4:00,35.25,120.5,-5.373291465,-6.072743037,--,--,--,--,--,--,--,--
130096,2021/5/11 4:00,35.25,120.75,-5.553028201,-5.648934677,--,--,--,--,--,--,--,--
130097,2021/5/11 4:00,35.25,121.0,-5.793320019,-5.21357211,--,--,--,--,--,--,--,--
130098,2021/5/11 4:00,35.25,121.25,-5.93101533,-4.631702181,--,--,--,--,--,--,--,--
130099,2021/5/11 4:00,35.25,121.5,-6.188663699,-3.878367802,--,--,--,--,--,--,--,--
130100,2021/5/11 4:00,35.25,121.75,-6.546208667,-2.99562629,--,--,--,--,--,--,--,--
130101,2021/5/11 4:00,35.25,122.0,-6.93576683,-2.046332539,--,--,--,--,--,--,--,--
130102,2021/5/11 4:00,35.25,122.25,-7.304882832,-1.118760699,--,--,--,--,--,--,--,--
130103,2021/5/11 4:00,35.25,122.5,-7.67592734,-0.292865892,--,--,--,--,--,--,--,--
130104,2021/5/11 4:00,35.25,122.75,-7.989502376,0.430889714,--,--,--,--,--,--,--,--
130105,2021/5/11 4:00,35.25,123.0,-8.18196725,1.026624693,--,--,--,--,--,--,--,--
130106,2021/5/11 4:00,35.25,123.25,-8.32930509,1.43703017,--,--,--,--,--,--,--,--
130107,2021/5/11 4:00,35.25,123.5,-8.312719941,1.785505092,--,--,--,--,--,--,--,--
130108,2021/5/11 4:00,35.25,123.75,-8.241365228,2.086376675,--,--,--,--,--,--,--,--
130109,2021/5/11 4:00,35.25,124.0,-8.123340675,2.262924977,--,--,--,--,--,--,--,--
130110,2021/5/11 4:00,35.25,124.25,-7.889991479,2.503252509,--,--,--,--,--,--,--,--
130111,2021/5/11 4:00,35.25,124.5,-7.556745684,2.691817188,--,--,--,--,--,--,--,--
130112,2021/5/11 4:00,35.25,124.75,-7.10663244,2.720933793,--,--,--,--,--,--,--,--
130113,2021/5/11 4:00,35.25,125.0,-6.658447702,2.670095277,--,--,--,--,--,--,--,--
130114,2021/5/11 4:00,35.25,125.25,-6.129265722,2.390945605,--,--,--,--,--,--,--,--
130115,2021/5/11 4:00,35.25,125.5,-5.771720754,2.123350141,--,--,--,--,--,--,--,--
130116,2021/5/11 4:00,35.25,125.75,-5.627082822,2.037386832,--,--,--,--,--,--,--,--
130117,2021/5/11 4:00,35.25,126.0,-5.792162915,2.245362581,--,--,--,--,--,--,--,--
130118,2021/5/11 4:00,35.25,126.25,-5.846932479,2.68858201,--,--,--,--,--,--,--,--
130119,2021/5/11 4:00,35.25,126.5,-5.443489074,2.582283294,--,--,--,--,--,--,--,--
130120,2021/5/11 4:00,35.25,126.75,-4.893864933,2.282336047,--,--,--,--,--,--,--,--
130121,2021/5/11 4:00,35.25,127.0,-4.57450438,1.646854592,--,--,--,--,--,--,--,--
130122,2021/5/11 4:00,35.25,127.25,-4.353883321,1.047422267,--,--,--,--,--,--,--,--
130123,2021/5/11 4:00,35.25,127.5,-3.743318398,0.186864835,--,--,--,--,--,--,--,--
130124,2021/5/11 4:00,35.25,127.75,-3.163223866,-0.824821641,--,--,--,--,--,--,--,--
130125,2021/5/11 4:00,35.25,128.0,-2.692668462,-1.706638816,--,--,--,--,--,--,--,--
130126,2021/5/11 4:00,35.25,128.25,-3.238435591,-1.378499301,--,--,--,--,--,--,--,--
130127,2021/5/11 4:00,35.25,128.5,-4.127091044,-1.376650628,--,--,--,--,--,--,--,--
130128,2021/5/11 4:00,35.25,128.75,-4.875351278,-1.685379073,--,--,--,--,--,--,--,--
130129,2021/5/11 4:00,35.25,129.0,-5.213225487,-2.621732111,--,--,--,--,--,--,--,--
130130,2021/5/11 4:00,35.25,129.25,-5.98462779,-3.634342924,--,--,--,--,--,--,--,--
130131,2021/5/11 4:00,35.25,129.5,-6.525766506,-4.104368116,--,--,--,--,--,--,--,--
130132,2021/5/11 4:00,35.25,129.75,-6.557008299,-3.985128687,--,--,--,--,--,--,--,--
130133,2021/5/11 4:00,35.25,130.0,-6.183649584,-3.331622667,--,--,--,--,--,--,--,--
130134,2021/5/11 4:00,35.5,120.0,-5.027703233,-5.658640212,--,--,--,--,--,--,--,--
130135,2021/5/11 4:00,35.5,120.25,-5.318521901,-5.798677217,--,--,--,--,--,--,--,--
130136,2021/5/11 4:00,35.5,120.5,-5.60278365,-5.755695562,--,--,--,--,--,--,--,--
