,time,latitude,longitude,u10,v10,cdww,mwp,pp1d,shww,dwww,wsk,wsp,wss
160966,2021/5/13 14:00,35.0,120.0,-5.792548617,4.750777102,--,--,--,--,--,--,--,--
160967,2021/5/13 14:00,35.0,120.25,-5.538371558,4.342682466,--,--,--,--,--,--,--,--
160968,2021/5/13 14:00,35.0,120.5,-5.470102454,3.99282104,--,--,--,--,--,--,--,--
160969,2021/5/13 14:00,35.0,120.75,-5.384091097,3.591658928,--,--,--,--,--,--,--,--
160970,2021/5/13 14:00,35.0,121.0,-5.119500107,3.02642706,--,--,--,--,--,--,--,--
160971,2021/5/13 14:00,35.0,121.25,-4.812867692,2.67194395,--,--,--,--,--,--,--,--
160972,2021/5/13 14:00,35.0,121.5,-4.342312287,2.288806404,--,--,--,--,--,--,--,--
160973,2021/5/13 14:00,35.0,121.75,-3.812744606,1.909828373,--,--,--,--,--,--,--,--
160974,2021/5/13 14:00,35.0,122.0,-3.326375454,1.610343294,--,--,--,--,--,--,--,--
160975,2021/5/13 14:00,35.0,122.25,-2.919460739,1.343672167,--,--,--,--,--,--,--,--
160976,2021/5/13 14:00,35.0,122.5,-2.579658024,1.068219842,--,--,--,--,--,--,--,--
160977,2021/5/13 14:00,35.0,122.75,-2.334352092,0.795540527,--,--,--,--,--,--,--,--
160978,2021/5/13 14:00,35.0,123.0,-2.198585286,0.499752795,--,--,--,--,--,--,--,--
160979,2021/5/13 14:00,35.0,123.25,-2.167343493,0.211821925,--,--,--,--,--,--,--,--
160980,2021/5/13 14:00,35.0,123.5,-2.137258803,-0.091822668,--,--,--,--,--,--,--,--
160981,2021/5/13 14:00,35.0,123.75,-2.131087585,-0.338158388,--,--,--,--,--,--,--,--
160982,2021/5/13 14:00,35.0,124.0,-2.155772459,-0.462019501,--,--,--,--,--,--,--,--
160983,2021/5/13 14:00,35.0,124.25,-2.064746987,-0.509160671,--,--,--,--,--,--,--,--
160984,2021/5/13 14:00,35.0,124.5,-1.910466526,-0.522563552,--,--,--,--,--,--,--,--
160985,2021/5/13 14:00,35.0,124.75,-1.691773973,-0.495295621,--,--,--,--,--,--,--,--
160986,2021/5/13 14:00,35.0,125.0,-1.346185741,-0.42088652,--,--,--,--,--,--,--,--
160987,2021/5/13 14:00,35.0,125.25,-0.968198613,-0.26559796,--,--,--,--,--,--,--,--
160988,2021/5/13 14:00,35.0,125.5,-0.49841461,-0.233708346,--,--,--,--,--,--,--,--
160989,2021/5/13 14:00,35.0,125.75,-0.005102838,-0.29887408,--,--,--,--,--,--,--,--
160990,2021/5/13 14:00,35.0,126.0,0.457738544,-0.425970371,--,--,--,--,--,--,--,--
160991,2021/5/13 14:00,35.0,126.25,0.338556889,0.00292184,--,--,--,--,--,--,--,--
160992,2021/5/13 14:00,35.0,126.5,0.155734543,0.665671226,--,--,--,--,--,--,--,--
160993,2021/5/13 14:00,35.0,126.75,-0.128141505,1.231365263,--,--,--,--,--,--,--,--
160994,2021/5/13 14:00,35.0,127.0,-0.520013875,1.439341012,--,--,--,--,--,--,--,--
160995,2021/5/13 14:00,35.0,127.25,-0.629167301,0.624076076,--,--,--,--,--,--,--,--
160996,2021/5/13 14:00,35.0,127.5,-0.418188771,-0.010018873,--,--,--,--,--,--,--,--
160997,2021/5/13 14:00,35.0,127.75,-0.239609138,-0.360342468,--,--,--,--,--,--,--,--
160998,2021/5/13 14:00,35.0,128.0,-0.361876403,-0.141736848,--,--,--,--,--,--,--,--
160999,2021/5/13 14:00,35.0,128.25,-0.764934106,-0.479581898,--,--,--,--,--,--,--,--
161000,2021/5/13 14:00,35.0,128.5,-0.837445923,-1.120147204,--,--,--,--,--,--,--,--
161001,2021/5/13 14:00,35.0,128.75,-1.048038751,-1.905371198,--,--,--,--,--,--,--,--
161002,2021/5/13 14:00,35.0,129.0,-1.927051676,-2.596775021,--,--,--,--,--,--,--,--
161003,2021/5/13 14:00,35.0,129.25,-2.661426668,-3.061716362,--,--,--,--,--,--,--,--
161004,2021/5/13 14:00,35.0,129.5,-2.832292278,-3.02058338,--,--,--,--,--,--,--,--
161005,2021/5/13 14:00,35.0,129.75,-2.708482209,-2.601858873,--,--,--,--,--,--,--,--
161006,2021/5/13 14:00,35.0,130.0,-2.616685335,-2.058811084,--,--,--,--,--,--,--,--
161007,2021/5/13 14:00,35.25,120.0,-5.878174272,4.270584206,--,--,--,--,--,--,--,--
161008,2021/5/13 14:00,35.25,120.25,-5.487844707,3.758501696,--,--,--,--,--,--,--,--
161009,2021/5/13 14:00,35.25,120.5,-5.264909441,3.295871197,--,--,--,--,--,--,--,--
161010,2021/5/13 14:00,35.25,120.75,-5.046216888,2.856349114,--,--,--,--,--,--,--,--
161011,2021/5/13 14:00,35.25,121.0,-4.770826266,2.473673736,--,--,--,--,--,--,--,--
161012,2021/5/13 14:00,35.25,121.25,-4.464193851,2.200994421,--,--,--,--,--,--,--,--
161013,2021/5/13 14:00,35.25,121.5,-3.977053296,1.899198501,--,--,--,--,--,--,--,--
161014,2021/5/13 14:00,35.25,121.75,-3.428200558,1.636686889,--,--,--,--,--,--,--,--
161015,2021/5/13 14:00,35.25,122.0,-2.922160647,1.586772709,--,--,--,--,--,--,--,--
161016,2021/5/13 14:00,35.25,122.25,-2.452376644,1.423627289,--,--,--,--,--,--,--,--
161017,2021/5/13 14:00,35.25,122.5,-2.15962947,1.274346918,--,--,--,--,--,--,--,--
161018,2021/5/13 14:00,35.25,122.75,-1.974107216,1.113974507,--,--,--,--,--,--,--,--
161019,2021/5/13 14:00,35.25,123.0,-1.813655537,0.837597845,--,--,--,--,--,--,--,--
161020,2021/5/13 14:00,35.25,123.25,-1.748472043,0.478493052,--,--,--,--,--,--,--,--
161021,2021/5/13 14:00,35.25,123.5,-1.661689283,0.169764607,--,--,--,--,--,--,--,--
161022,2021/5/13 14:00,35.25,123.75,-1.613476639,-0.072411598,--,--,--,--,--,--,--,--
161023,2021/5/13 14:00,35.25,124.0,-1.64394703,-0.2489599,--,--,--,--,--,--,--,--
161024,2021/5/13 14:00,35.25,124.25,-1.645875536,-0.313663467,--,--,--,--,--,--,--,--
161025,2021/5/13 14:00,35.25,124.5,-1.579534938,-0.371434508,--,--,--,--,--,--,--,--
161026,2021/5/13 14:00,35.25,124.75,-1.498537696,-0.361266805,--,--,--,--,--,--,--,--
161027,2021/5/13 14:00,35.25,125.0,-1.378198937,-0.205978246,--,--,--,--,--,--,--,--
161028,2021/5/13 14:00,35.25,125.25,-1.051124361,-0.078419786,--,--,--,--,--,--,--,--
161029,2021/5/13 14:00,35.25,125.5,-0.569769323,-0.040059815,--,--,--,--,--,--,--,--
161030,2021/5/13 14:00,35.25,125.75,0.004539691,-0.023421755,--,--,--,--,--,--,--,--
161031,2021/5/13 14:00,35.25,126.0,0.679131005,0.124009942,--,--,--,--,--,--,--,--
161032,2021/5/13 14:00,35.25,126.25,0.622818637,0.50391231,--,--,--,--,--,--,--,--
161033,2021/5/13 14:00,35.25,126.5,0.250617026,0.94990475,--,--,--,--,--,--,--,--
161034,2021/5/13 14:00,35.25,126.75,-0.214152862,1.279892938,--,--,--,--,--,--,--,--
161035,2021/5/13 14:00,35.25,127.0,-0.478743852,1.425475962,--,--,--,--,--,--,--,--
161036,2021/5/13 14:00,35.25,127.25,-0.829346198,1.059438644,--,--,--,--,--,--,--,--
161037,2021/5/13 14:00,35.25,127.5,-0.284736172,0.912931283,--,--,--,--,--,--,--,--
161038,2021/5/13 14:00,35.25,127.75,0.345499509,0.921712481,--,--,--,--,--,--,--,--
161039,2021/5/13 14:00,35.25,128.0,0.492837349,1.264641383,--,--,--,--,--,--,--,--
161040,2021/5/13 14:00,35.25,128.25,-0.390803989,1.277119928,--,--,--,--,--,--,--,--
161041,2021/5/13 14:00,35.25,128.5,-0.585197369,0.712812396,--,--,--,--,--,--,--,--
161042,2021/5/13 14:00,35.25,128.75,-0.643823944,-0.245262554,--,--,--,--,--,--,--,--
161043,2021/5/13 14:00,35.25,129.0,-1.029525096,-1.454294907,--,--,--,--,--,--,--,--
161044,2021/5/13 14:00,35.25,129.25,-1.593034478,-2.203469771,--,--,--,--,--,--,--,--
161045,2021/5/13 14:00,35.25,129.5,-2.085189148,-2.524676761,--,--,--,--,--,--,--,--
161046,2021/5/13 14:00,35.25,129.75,-2.287296551,-2.387874935,--,--,--,--,--,--,--,--
161047,2021/5/13 14:00,35.25,130.0,-2.106788412,-1.943731169,--,--,--,--,--,--,--,--
161048,2021/5/13 14:00,35.5,120.0,-5.367505948,3.28108181,--,--,--,--,--,--,--,--
161049,2021/5/13 14:00,35.5,120.25,-5.100986452,2.97651288,--,--,--,--,--,--,--,--
161050,2021/5/13 14:00,35.5,120.5,-4.947477393,2.711690427,--,--,--,--,--,--,--,--
161051,2021/5/13 14:00,35.5,120.75,-4.757326726,2.37569405,--,--,--,--,--,--,--,--
161052,2021/5/13 14:00,35.5,121.0,-4.437966172,2.190364549,--,--,--,--,--,--,--,--
161053,2021/5/13 14:00,35.5,121.25,-3.941954491,2.102552567,--,--,--,--,--,--,--,--
161054,2021/5/13 14:00,35.5,121.5,-3.424343546,1.904282353,--,--,--,--,--,--,--,--
161055,2021/5/13 14:00,35.5,121.75,-2.875490807,1.834032766,--,--,--,--,--,--,--,--
161056,2021/5/13 14:00,35.5,122.0,-2.430005977,1.83865445,--,--,--,--,--,--,--,--
161057,2021/5/13 14:00,35.5,122.25,-1.989535262,1.709709485,--,--,--,--,--,--,--,--
161058,2021/5/13 14:00,35.5,122.5,-1.751171951,1.565050798,--,--,--,--,--,--,--,--
161059,2021/5/13 14:00,35.5,122.75,-1.58030634,1.370940099,--,--,--,--,--,--,--,--
161060,2021/5/13 14:00,35.5,123.0,-1.317643856,0.976248344,--,--,--,--,--,--,--,--
161061,2021/5/13 14:00,35.5,123.25,-1.23857512,0.58987562,--,--,--,--,--,--,--,--
161062,2021/5/13 14:00,35.5,123.5,-1.13790712,0.244173708,--,--,--,--,--,--,--,--
161063,2021/5/13 14:00,35.5,123.75,-1.038396223,-0.132031313,--,--,--,--,--,--,--,--
161064,2021/5/13 14:00,35.5,124.0,-1.010240038,-0.480506234,--,--,--,--,--,--,--,--
161065,2021/5/13 14:00,35.5,124.25,-1.056909878,-0.65335719,--,--,--,--,--,--,--,--
161066,2021/5/13 14:00,35.5,124.5,-1.173391626,-0.821586462,--,--,--,--,--,--,--,--
161067,2021/5/13 14:00,35.5,124.75,-1.196533695,-0.850703067,--,--,--,--,--,--,--,--
161068,2021/5/13 14:00,35.5,125.0,-1.223147074,-0.739320499,--,--,--,--,--,--,--,--
161069,2021/5/13 14:00,35.5,125.25,-0.986712268,-0.416264836,--,--,--,--,--,--,--,--
161070,2021/5/13 14:00,35.5,125.5,-0.574397737,-0.251270742,--,--,--,--,--,--,--,--
161071,2021/5/13 14:00,35.5,125.75,0.021124841,-0.001237675,--,--,--,--,--,--,--,--
161072,2021/5/13 14:00,35.5,126.0,0.904766179,0.226611312,--,--,--,--,--,--,--,--
