time	latitude	longitude	u10	v10	mwd	mwp	swh	ls	lx
2021/5/1 0:00:00	35.25	126.5	4.540770935	-5.72842763	--	--	--	--	
2021/5/1 0:00:00	35.25	126.75	3.947948265	-3.641737617	--	--	--	--	
2021/5/1 0:00:00	35.25	127	3.733112723	-2.728492995	--	--	--	--	
2021/5/1 0:00:00	35.25	127.25	3.290713502	-2.611564407	--	--	--	--	
2021/5/1 0:00:00	35.25	127.5	2.955924903	-2.070365292	--	--	--	--	
2021/5/1 0:00:00	35.25	127.75	2.589508809	-1.480638502	--	--	--	--	
2021/5/1 0:00:00	35.25	128	2.008642875	-1.093803609	--	--	--	--	
2021/5/1 0:00:00	35.25	128.25	1.986272208	-0.916793138	--	--	--	--	
2021/5/1 0:00:00	35.25	128.5	2.387401406	-1.27913311	--	--	--	--	
2021/5/1 0:00:00	35.25	128.75	2.83095773	-1.379885806	--	--	--	--	
2021/5/1 0:00:00	35.25	129	3.305370146	-0.679700785	--	--	--	--	
2021/5/1 0:00:00	35.25	129.25	3.885464678	0.368959158	--	--	--	--	
2021/5/1 0:00:00	35.25	129.5	4.143498749	1.219811055	--	--	--	--	
2021/5/1 0:00:00	35.25	129.75	3.756640494	1.607570284	--	--	--	--	
2021/5/1 0:00:00	35.25	130	3.108276858	1.703239129	--	--	--	--	
2021/5/1 0:00:00	35.5	120	3.954119483	2.485227944	--	--	--	--	
2021/5/1 0:00:00	35.5	120.25	3.928663207	2.331788059	--	--	--	--	
2021/5/1 0:00:00	35.5	120.5	3.930591713	2.138601696	--	--	--	--	
2021/5/1 0:00:00	35.5	120.75	4.027017001	1.872854906	--	--	--	--	
2021/5/1 0:00:00	35.5	121	4.313207255	1.437492339	--	--	--	--	
2021/5/1 0:00:00	35.5	121.25	4.781062752	0.89444455	--	--	--	--	
2021/5/1 0:00:00	35.5	121.5	5.08190965	0.29085271	--	--	--	--	
2021/5/1 0:00:00	35.5	121.75	5.30638772	-0.375131855	--	--	--	--	
2021/5/1 0:00:00	35.5	122	5.423640871	-0.899230742	--	--	--	--	
2021/5/1 0:00:00	35.5	122.25	5.0984948	-1.248167832	--	--	--	--	
2021/5/1 0:00:00	35.5	122.5	4.844703442	-1.883649286	--	--	--	--	
2021/5/1 0:00:00	35.5	122.75	4.695051395	-2.689670855	--	--	--	--	
2021/5/1 0:00:00	35.5	123	4.769491718	-3.491070741	--	--	--	--	
2021/5/1 0:00:00	35.5	123.25	5.259717881	-4.246253793	--	--	--	--	
2021/5/1 0:00:00	35.5	123.5	5.666632596	-4.795771939	--	--	--	--	
2021/5/1 0:00:00	35.5	123.75	5.810499126	-5.081854136	--	--	--	--	
2021/5/1 0:00:00	35.5	124	5.825155769	-5.283359528	--	--	--	--	
2021/5/1 0:00:00	35.5	124.25	5.711759631	-5.464991682	--	--	--	--	
2021/5/1 0:00:00	35.5	124.5	5.620734159	-5.628137103	--	--	--	--	
2021/5/1 0:00:00	35.5	124.75	5.478410434	-5.820399128	--	--	--	--	
2021/5/1 0:00:00	35.5	125	5.223461973	-5.892497388	--	--	--	--	
2021/5/1 0:00:00	35.5	125.25	5.107365926	-5.920689656	--	--	--	--	
